GEO_ID,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,White; Black or African American,Black or African American; American Indian and Alaska Native,White; American Indian and Alaska Native,White; Asian,White; Native Hawaiian and Other Pacific Islander,White; Some Other Race,Black or African American; Asian,Black or African American; Native Hawaiian and Other Pacific Islander,Black or African American; Some Other Race,American Indian and Alaska Native; Asian,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Some Other Race,Asian; Native Hawaiian and Other Pacific Islander,Asian; Some Other Race,Native Hawaiian and Other Pacific Islander; Some Other Race,Occupied_percent,democrat_percent,Turnout
17031017013,0.012669683257918552,0.9131221719457013,0.005429864253393665,0.0018099547511312218,0.0027149321266968325,0.06425339366515836,0.391304347826087,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.0,0.2608695652173913,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.87,0.9602272727272727,0.4585987261146497
17031017014,0.17795566502463053,0.3737684729064039,0.0437192118226601,0.0049261083743842365,0.0,0.3996305418719212,0.05029585798816568,0.011834319526627219,0.011834319526627219,0.0,0.0,0.834319526627219,0.0,0.0,0.008875739644970414,0.0,0.0,0.04437869822485207,0.0,0.014792899408284023,0.023668639053254437,0.9189873417721519,0.9318181818181818,0.5180722891566265
17031018011,0.21476510067114093,0.3478747203579418,0.052572706935123045,0.006711409395973154,0.0,0.378076062639821,0.03932584269662921,0.0,0.033707865168539325,0.0,0.0,0.8707865168539326,0.0056179775280898875,0.0,0.028089887640449437,0.0,0.0,0.011235955056179775,0.0,0.0056179775280898875,0.0056179775280898875,0.9969135802469136,0.8663594470046083,0.6482035928143712
17031020001,0.031609195402298854,0.946360153256705,0.0019157088122605363,0.008620689655172414,0.0,0.011494252873563218,0.4666666666666667,0.3,0.1,0.0,0.0,0.03333333333333333,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8954983922829582,0.959830866807611,0.5724725943970768
17031020003,0.025896414342629483,0.9611553784860558,0.00199203187250996,0.00199203187250996,0.0,0.008964143426294821,0.4642857142857143,0.25,0.03571428571428571,0.07142857142857142,0.0,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.7424511545293073,0.9697732997481109,0.5463087248322148
17031020004,0.11014492753623188,0.43091787439613527,0.003864734299516908,0.09468599033816426,0.000966183574879227,0.35942028985507246,0.10227272727272728,0.022727272727272728,0.022727272727272728,0.011363636363636364,0.0,0.8295454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.841688654353562,0.8781512605042017,0.45540796963946867
17031020005,0.027379400260756193,0.9615384615384616,0.000651890482398957,0.0045632333767926985,0.0,0.005867014341590613,0.36923076923076925,0.13846153846153847,0.0,0.0,0.0,0.2,0.06153846153846154,0.0,0.16923076923076924,0.0,0.0,0.015384615384615385,0.0,0.046153846153846156,0.0,0.8358585858585859,0.955719557195572,0.5456369107321966
17031020006,0.043596730245231606,0.896457765667575,0.005449591280653951,0.006811989100817439,0.0,0.047683923705722074,0.17857142857142858,0.03571428571428571,0.0,0.14285714285714285,0.07142857142857142,0.5,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.7414187643020596,0.9551569506726457,0.4067495559502664
17031020007,0.0081799591002045,0.9698364008179959,0.0035787321063394683,0.0,0.0010224948875255625,0.017382413087934562,0.4772727272727273,0.2727272727272727,0.022727272727272728,0.022727272727272728,0.0,0.13636363636363635,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.8027888446215139,0.9611829944547134,0.47884788478847884
17031020008,0.0056657223796034,0.9782813975448537,0.003777148253068933,0.0,0.0,0.012275731822474031,0.43333333333333335,0.13333333333333333,0.0,0.06666666666666667,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.8286604361370716,0.9522673031026253,0.5368852459016393
17031020009,0.043286867204695524,0.9354365370506236,0.00293470286133529,0.008070432868672046,0.0,0.010271460014673514,0.3333333333333333,0.2,0.13333333333333333,0.0,0.0,0.2,0.0,0.0,0.08888888888888889,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.9222520107238605,0.9724349157733537,0.6444672131147541
17031020010,0.016183986371379896,0.9522998296422487,0.0034071550255536627,0.002555366269165247,0.0,0.02555366269165247,0.38461538461538464,0.34615384615384615,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.7274143302180686,0.9752321981424149,0.4663143989431968
17031020011,0.008625646923519264,0.9781483611270846,0.0023001725129384704,0.0005750431282346176,0.0,0.010350776308223116,0.32653061224489793,0.2653061224489796,0.02040816326530612,0.02040816326530612,0.0,0.10204081632653061,0.0,0.0,0.20408163265306123,0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.83675799086758,0.9607843137254902,0.5391459074733096
17031020014,0.04032258064516129,0.9354838709677419,0.004032258064516129,0.006720430107526882,0.0,0.013440860215053764,0.3888888888888889,0.0,0.2222222222222222,0.0,0.0,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.7495291902071564,0.967032967032967,0.6211764705882353
17031020023,0.012709416522241479,0.975736568457539,0.0028885037550548816,0.0011554015020219526,0.0011554015020219526,0.006354708261120739,0.5333333333333333,0.3333333333333333,0.0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.9389221556886228,0.9643652561247216,0.46963562753036436
17031022001,0.055357142857142855,0.6571428571428571,0.014285714285714285,0.0,0.0,0.2732142857142857,0.0,0.034482758620689655,0.0,0.0,0.0,0.7931034482758621,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.9285714285714286,0.9731800766283525,0.6030150753768844
